program_id,program_name,federal_agency,subagency,need_categories,recipient_types,benefit_mechanism,welfare_stack_relationship,state_administered,state_supplement_or_waiver_possible,direct_household_value,links_to_state_database_candidate,priority_batch,rationale,official_source_url,verification_status
11,"Medicare (Parts A, B, C, D)",HHS,Centers for Medicare & Medicaid Services (CMS),"Aging; disability; health coverage; ESRD","Adults 65+; disabled individuals after 24-month SSDI wait; ESRD patients","DIRECT-SERVICE, INSURANCE",Foundational senior/disability health coverage; MSPs and Part D LIS are low-income sub-programs,FALSE,TRUE,TRUE,TRUE,Batch 2,~67 million beneficiaries; $1T+ federal spending; Medicare Savings Programs administered by states provide premium/cost-sharing assistance.,https://www.medicare.gov/basics/get-started-with-medicare/medicare-basics/parts-of-medicare,Verified — Medicare.gov primary source
12,ACA Premium Tax Credit (PTC) / Cost-Sharing Reductions (CSR),"U.S. Department of the Treasury / HHS",IRS; CMS (Marketplace),"Health coverage; uninsured workers; income support","Individuals and families purchasing Marketplace plans (income 100–400%+ FPL)",TAX-CREDIT,Bridges Medicaid cutoff to full-cost private insurance; IRA expanded eligibility through 2025+,FALSE,TRUE,TRUE,TRUE,Batch 2,~20 million Marketplace enrollees; average subsidy of $536/month (2024); state-based marketplaces create state database variation in eligibility and plan offerings.,https://www.irs.gov/affordable-care-act/individuals-and-families/the-premium-tax-credit-the-basics,Verified — IRS primary source
13,Housing Choice Voucher Program (Section 8 HCV),HUD,Office of Public and Indian Housing (PIH),"Housing; poverty; homelessness prevention","Very low-income families; elderly; disabled",VOUCHER,Largest federal rental assistance program; ~2000 local PHAs administer waiting lists,TRUE,TRUE,TRUE,TRUE,Batch 3,2.3M+ households assisted; ~2000 local PHAs each maintain waiting lists; PHA-level data is a critical candidate for the state/local pass-through database layer.,https://www.hud.gov/helping-americans/housing-choice-vouchers-tenants,Verified — HUD primary source
14,Public Housing Program,HUD,Office of Public and Indian Housing (PIH),"Housing; poverty; income support","Low-income families; elderly; disabled (~970000 households)",DIRECT-SERVICE,Distinct from voucher assistance; HUD funds local housing authorities who own/manage stock,TRUE,FALSE,TRUE,TRUE,Batch 3,~970000 households in federally-owned/managed units; ~3300 housing authorities; separate mechanism from HCV with distinct eligibility rules.,https://www.hud.gov/helping-americans/public-housing,Verified — HUD primary source
15,Project-Based Rental Assistance (PBRA / Section 8 Multifamily),HUD,Office of Multifamily Housing Programs,"Housing; poverty; rental affordability","Low-income families; elderly; disabled in assisted multifamily units",SUBSIDY,Tied to specific units not households; complements HCV; older Section 8 contracts,FALSE,FALSE,TRUE,TRUE,Batch 3,~1.2M assisted multifamily units under long-term HUD contracts; distinct from HCV — assistance stays with property requiring separate tracking.,https://www.hud.gov/program_offices/housing/mfh/progdesc/rentsupp,Verified — HUD program description
16,HUD-VASH (Veterans Affairs Supportive Housing),"HUD / VA","PIH (HUD); VHA (VA)","Housing; veteran services; homelessness; mental health","Homeless veterans and their families","VOUCHER, DIRECT-SERVICE",Joint HUD-VA program combining HCV voucher with VA case management and clinical services,TRUE,FALSE,TRUE,TRUE,Batch 3,116000+ vouchers awarded since 2008; available in all 50 states; joint HUD/VA mechanism requires separate indexing from general HCV.,https://www.hud.gov/helping-americans/housing-choice-vouchers-homeless-veterans,Verified — HUD/VA primary sources
17,Community Development Block Grant (CDBG),HUD,Office of Community Planning and Development (CPD),"Housing; community development; economic opportunity; public services","States; metropolitan cities; urban counties; nonprofits; low/mod-income residents",GRANT-FORMULA,"Flexible pass-through enabling local housing, infrastructure, and social service investments; ≥70% must benefit LMI persons",TRUE,FALSE,FALSE,TRUE,Batch 3,~$3.3B/year flowing to states and local governments; grantee-level tracking is a state/local pass-through database candidate.,https://www.hud.gov/hud-partners/community-cdbg,Verified — HUD primary source
18,HOME Investment Partnerships Program,HUD,Office of Community Planning and Development (CPD),"Affordable housing; rental; homeownership; low-income households","States; local governments; nonprofits; low-income renters and homebuyers",GRANT-FORMULA,Largest federal block grant exclusively for affordable housing; 25-cent locality match required,TRUE,TRUE,FALSE,TRUE,Batch 3,~$1.5B/year; exclusively for affordable housing creation; creates units feeding into long-term rental subsidy and homeownership programs.,https://www.hudexchange.info/programs/home/,Verified — HUD Exchange primary source
19,Emergency Solutions Grants (ESG) Program,HUD,Office of Community Planning and Development (CPD),"Homelessness; emergency shelter; rapid re-housing","Homeless individuals and families; persons at risk of homelessness",GRANT-FORMULA,Homeless services infrastructure complement to HUD Continuum of Care grants,TRUE,TRUE,FALSE,TRUE,Batch 3,"Funds emergency shelter, street outreach, rapid re-housing, and homelessness prevention; pairs with CoC grants to form the federal homeless assistance architecture.",https://www.hudexchange.info/programs/esg/,Verified — HUD Exchange primary source
20,Low-Income Housing Tax Credit (LIHTC),U.S. Department of the Treasury,IRS / State Housing Finance Agencies,"Affordable rental housing; developers; low-income renters","States (credits allocated to HFAs); developers; low-income renters at ≤60% AMI",TAX-CREDIT,Finances nearly all affordable rental housing development; units feed into HCV and PBRA subsidy layering,TRUE,TRUE,FALSE,TRUE,Batch 3,~$10.5B/year in annual budget authority; largest source of federal affordable housing financing; LIHTC unit locations and rent restrictions are state database candidates.,https://www.huduser.gov/portal/datasets/lihtc.html,Verified — HUD User LIHTC dataset documentation
21,VA Disability Compensation,VA,Veterans Benefits Administration (VBA),"Disability; income support; veterans","Veterans with service-connected disabilities",CASH,"Service-connected cash benefit; does not reduce SSI/SSDI; triggers other VA programs, some state veterans benefits",FALSE,TRUE,TRUE,TRUE,Batch 4,~5.5 million recipients; $150B+ total VA disability spending; state veterans benefits and property tax exemptions layer on top making state database linking relevant.,https://www.va.gov/disability/,Verified — VA.gov primary source
22,VA Pension (Veterans Pension / Survivors Pension),VA,Veterans Benefits Administration (VBA),"Aging; poverty; income support; veterans","Low-income wartime veterans (age 65+ or permanently disabled); surviving spouses",CASH,Means-tested income support for wartime veterans; Aid and Attendance supplement for in-home care,FALSE,FALSE,TRUE,FALSE,Batch 4,Needs-based cash pension for low-income wartime veterans; Aid and Attendance supplement for those requiring in-home care is an often-overlooked benefit.,https://www.va.gov/pension/,Verified — VA.gov primary source
23,Post-9/11 GI Bill (Chapter 33),VA,Veterans Benefits Administration (VBA) — Education Service,"Education; workforce; veterans; military families","Veterans, service members, and eligible dependents with 90+ days active service post-9/11",GRANT-FORMULA,Most-used VA education benefit; Yellow Ribbon Program supplements for higher-cost schools,FALSE,FALSE,TRUE,FALSE,Batch 4,~500000 annual users; pays full tuition at public schools + monthly housing allowance (BAH rate) + $1000/year book stipend.,https://www.va.gov/education/,Verified — VA.gov primary source
24,Federal Pell Grant Program,U.S. Department of Education (ED),Federal Student Aid (FSA),"Higher education; low-income students; workforce development","Undergraduate students demonstrating financial need",GRANT-COMPETITIVE,Foundation of federal student aid; coordinates with Direct Loans and PLUS Loans,FALSE,FALSE,TRUE,FALSE,Batch 5,~7 million recipients/year; maximum $7395 award (2025-26); needs-based entitlement structure directly affects lowest-income student access to higher education.,https://studentaid.gov/understand-aid/types/grants/pell,Verified — Federal Student Aid primary source
25,Federal Direct Loan Program (Subsidized & Unsubsidized Stafford Loans),U.S. Department of Education (ED),Federal Student Aid (FSA),"Higher education; student debt; workforce development","Eligible undergraduate and graduate students at accredited institutions",LOAN,Subsidized interest is a federal benefit; IDR plans and PSLF forgiveness are downstream welfare stack components,FALSE,FALSE,TRUE,FALSE,Batch 5,~$80B+ in new originations/year; subsidized interest during enrollment represents direct federal transfer; IDR and forgiveness programs are critical downstream stack components.,https://studentaid.gov/understand-aid/types/loans/subsidized-unsubsidized,Verified — Federal Student Aid primary source
26,Title I Part A — Improving Basic Programs (ESEA/ESSA),U.S. Department of Education (ED),Office of Elementary and Secondary Education (OESE),"Education; poverty; K-12; disadvantaged students","Local educational agencies (LEAs/school districts) with concentrations of low-income students",GRANT-FORMULA,Largest K-12 federal formula grant; funds supplemental academic support for disadvantaged students,TRUE,TRUE,FALSE,TRUE,Batch 5,~$18B/year flowing to ~13000 school districts; school-district-level allocations are public data making this a top state/local pass-through database candidate.,https://www.ed.gov/grants-and-programs/formula-grants/school-improvement-grants/title-i-part-improving-basic-programs-operated-local-educational-agencies,Verified — U.S. Department of Education primary source
27,Low Income Home Energy Assistance Program (LIHEAP),HHS,"Administration for Children and Families (ACF), Office of Community Services","Energy; utilities; poverty; winter/summer crisis","Low-income households (priority: elderly, disabled, very young children)",GRANT-FORMULA,Block grant to states for heating/cooling/crisis/weatherization assistance; extreme state-to-state variation,TRUE,TRUE,TRUE,TRUE,Batch 6,~$4B/year; state LIHEAP offices vary significantly in benefit amounts and delivery methods; a high-priority state database candidate due to extreme state-to-state variation.,https://www.acf.hhs.gov/ocs/programs/liheap,Verified — ACF/HHS primary source
28,Weatherization Assistance Program (WAP),U.S. Department of Energy (DOE),Office of State and Community Energy Programs,"Energy efficiency; poverty; housing quality","Low-income homeowners and renters (income ≤200% FPL or receiving SSI/TANF)",DIRECT-SERVICE,Permanent energy cost reduction complement to LIHEAP's temporary assistance,TRUE,TRUE,TRUE,TRUE,Batch 6,"Provides permanent energy efficiency upgrades averaging $2000-$6000/household in federal investment; state WAP agencies maintain waiting lists.",https://www.energy.gov/scep/wap/weatherization-assistance-program,Verified — DOE primary source
29,FCC Lifeline Program,Federal Communications Commission (FCC),Universal Service Administrative Company (USAC),"Telecommunications; digital access; poverty","Low-income households (income ≤135% FPL or enrolled in qualifying federal programs)",SUBSIDY,"Up to $9.25/month discount on phone/internet; $34.25 on Tribal lands; categorical eligibility based on SNAP/Medicaid/SSI enrollment",FALSE,TRUE,TRUE,TRUE,Batch 6,"~7 million subscribers; categorical eligibility based on federal benefit enrollment makes it a welfare stack gateway node; Oregon and Texas administer their own verifier variants.",https://www.lifelinesupport.org,Verified — USAC primary source
30,National School Lunch Program (NSLP) / School Breakfast Program (SBP),USDA,Food and Nutrition Service (FNS),"Child nutrition; education; food security","School-age children (free meals: ≤130% FPL; reduced: 130-185% FPL)",IN-KIND,"Subsidized/free meals at school; per-meal federal reimbursement; Community Eligibility Provision allows universal free meals at high-poverty schools",TRUE,TRUE,TRUE,TRUE,Batch 7,~30 million children in NSLP; ~15 million in SBP; indexed as one program family (FNS administers jointly); school-level participation data is a state database candidate.,https://www.fns.usda.gov/nslp/national-school-lunch-program-nslp,Verified — USDA FNS primary source
31,Head Start / Early Head Start,HHS,Administration for Children and Families (ACF) / Office of Head Start,"Early childhood; poverty; education; family services","Children ages 0-5 in families ≤100% FPL; pregnant women",DIRECT-SERVICE,Child poverty gateway service; Head Start grantees receive competitive grants and administer locally,FALSE,FALSE,TRUE,TRUE,Batch 7,~800000 children enrolled; competitive federal grants to local agencies create a grantee-level database candidate; comprehensive services make it a unique welfare stack node.,https://www.acf.hhs.gov/ohs,Verified — ACF/HHS primary source
32,Child Care and Development Fund (CCDF),HHS,Administration for Children and Families (ACF),"Child care; working families; poverty","Low-income families with children under 13; parents working or in training",GRANT-FORMULA,"CCDBG block grant + mandatory CCES funding; states provide subsidies to families; $12.38B combined federal investment in FY2026; TANF can transfer up to 30% to CCDF",TRUE,TRUE,TRUE,TRUE,Batch 7,$12.38B FY2026 combined federal investment; states set copay schedules and provider rates — high-variation state database candidate critical to working-family welfare stack.,https://www.acf.hhs.gov/occ/ccdf-programs,Verified — ACF/HHS primary source
33,The Emergency Food Assistance Program (TEFAP),USDA,Food and Nutrition Service (FNS),"Food security; emergency nutrition; poverty","Low-income households (via food banks, soup kitchens, food pantries)",COMMODITY,Supplements SNAP with physical food distribution through food bank network,TRUE,FALSE,TRUE,TRUE,Batch 7,USDA purchases 100% American-grown commodities and distributes through states; complements SNAP for households with acute food needs; state distribution network is a database candidate.,https://www.fns.usda.gov/tefap/emergency-food-assistance-program,Verified — USDA FNS primary source
34,Older Americans Act (OAA) Nutrition Programs (Title III-C),HHS,Administration for Community Living (ACL) / Administration on Aging (AoA),"Senior nutrition; aging; food security","Adults 60+ (priority: lowest-income, minority, rural, limited English)",IN-KIND,"Congregate meals at senior centers; home-delivered meals (Meals on Wheels); no income test; targets greatest need",TRUE,TRUE,TRUE,TRUE,Batch 7,~145 million congregate + home-delivered meals/year; no income test; AAA delivery network makes this a candidate for the state/local services database layer.,https://acl.gov/programs/nutrition-programs,Verified — ACL primary source
35,Food Distribution Program on Indian Reservations (FDPIR),USDA,Food and Nutrition Service (FNS),"Food security; tribal communities; Indigenous populations","Income-eligible American Indian/Alaska Native households on or near reservations",COMMODITY,Alternative to SNAP for tribal communities; administered by Indian Tribal Organizations,FALSE,FALSE,TRUE,TRUE,Batch 7,"110 administering agencies (107 ITOs + 3 state agencies) serving ~85000+ individuals/month; an alternative to SNAP specifically for tribal geographies requiring distinct database treatment.",https://www.fns.usda.gov/fdpir/food-distribution-program-indian-reservations,Verified — USDA FNS primary source
36,Unemployment Insurance (UI) — Federal-State System,U.S. Department of Labor (DOL),Employment and Training Administration (ETA),"Job loss; income replacement; workers","Workers who lost employment through no fault of their own",CASH,"Weekly benefit; funded by FUTA employer tax + state SUTA; ~26 weeks base; federal extended benefits trigger in high unemployment",TRUE,TRUE,TRUE,TRUE,Batch 8,~$30B+ in peak years; wide state variation in benefit levels duration and work requirements; state-level weekly benefit amounts and eligibility rules are a high-priority database candidate.,https://oui.doleta.gov/unemploy/,Verified — DOL/ETA primary source
37,WIOA Title I — Adult / Dislocated Worker / Youth Employment & Training,U.S. Department of Labor (DOL),Employment and Training Administration (ETA),"Workforce; employment; skills training; youth","Low-income adults; dislocated workers; youth 14-24 with barriers to employment","DIRECT-SERVICE, GRANT-FORMULA",Funds workforce development system (American Job Centers); interfaces with UI and SNAP E&T,TRUE,TRUE,TRUE,TRUE,Batch 8,$2.9B+ in FY2023 formula funding across Adult/Dislocated Worker/Youth; American Job Center network delivers services in all states making local program data a key database candidate.,https://www.dol.gov/agencies/eta/wioa/programs,Verified — DOL ETA primary source
38,Registered Apprenticeship Program,U.S. Department of Labor (DOL),Employment and Training Administration (ETA) / Office of Apprenticeship,"Workforce; skills training; workers","Workers (apprentices); employers; industry sponsors","DIRECT-SERVICE, SUBSIDY","Paid on-the-job learning + related instruction; DOL or state agency registration and support; WIOA funding can support costs",TRUE,TRUE,TRUE,TRUE,Batch 8,~600000 active apprentices; DOL or state agency registration required; apprenticeship program finder data is publicly available and a database candidate for workforce navigation.,https://www.apprenticeship.gov,Verified — DOL Apprenticeship.gov primary source
39,USDA Farm Commodity Programs (ARC / PLC / Marketing Assistance Loans),USDA,Farm Service Agency (FSA),"Farm income; agricultural risk; food supply","Agricultural producers; commodity crop farmers","CASH, LOAN","Counter-cyclical and price loss coverage payments; marketing assistance loans; Farm Bill authorized; layered with crop insurance",FALSE,FALSE,FALSE,TRUE,Batch 9,Multi-billion dollar annual commodity support transfers value to agricultural producers; FSA payment data is publicly available at county level making it a pass-through database candidate.,https://www.fsa.usda.gov/programs-and-services/farm-bill/,Verified — USDA FSA primary source
40,Federal Crop Insurance Program (FCIC / RMA),USDA,Risk Management Agency (RMA),"Agricultural risk; farm income; food supply","Farmers and agricultural producers",INSURANCE,Federally subsidized crop insurance premiums; indemnity payments on loss; complements FSA commodity programs,FALSE,FALSE,FALSE,TRUE,Batch 9,Federal government subsidizes ~60% of average crop insurance premium; $17B+ in annual premium subsidies; county-level actuarial data is publicly available.,https://rma.usda.gov,Verified — USDA RMA primary source
41,USDA Rural Housing Service — Single Family Housing Programs (Sections 502/504/515),USDA,Rural Development / Rural Housing Service,"Rural housing; homeownership; housing repair","Low/very-low income rural households; rural renters","LOAN, GUARANTEE, GRANT","Section 502 direct loans; Section 502 guaranteed loans; Section 504 repair loans/grants; rural housing infrastructure complement to HUD programs",FALSE,FALSE,TRUE,TRUE,Batch 9,Zero-down financing for rural homebuyers who cannot obtain credit elsewhere; Section 504 grants available to homeowners 62+ for safety repairs; critical for rural welfare stack coverage.,https://www.rd.usda.gov/programs-services/single-family-housing-programs,Verified — USDA Rural Development primary source
42,SBA 7(a) Loan Program,U.S. Small Business Administration (SBA),N/A,"Business development; employment; economic growth","Small businesses (for-profit, U.S.-based, creditworthy)",GUARANTEE,Primary SBA loan guarantee enabling credit access for businesses that cannot obtain conventional financing,FALSE,FALSE,FALSE,TRUE,Batch 10,"SBA's primary loan guarantee; SBA publishes 7(a) loan data by state, county, and industry making it a searchable business database candidate.",https://www.sba.gov/funding-programs/loans/7a-loans,Verified — SBA primary source
43,SBA 504 Loan Program,U.S. Small Business Administration (SBA),N/A,"Business capital investment; job creation","Small businesses with tangible net worth <$20M",LOAN,Fixed-rate long-term financing for major fixed assets via Certified Development Company network,FALSE,FALSE,FALSE,TRUE,Batch 10,Below-market fixed-rate financing for major fixed assets via CDC network; distinct mechanism from 7(a) requiring separate database treatment.,https://www.sba.gov/funding-programs/loans/504-loans,Verified — SBA primary source
44,Social Services Block Grant (SSBG),HHS,Administration for Children and Families (ACF),"Child welfare; adult protective services; disability services; poverty","States (pass-through to vulnerable children, adults, families)",GRANT-FORMULA,"Capped entitlement block grant; no match required; flexible for child protective services, foster care for non-IV-E children, and adult protective services",TRUE,TRUE,FALSE,TRUE,Batch 11,~$1.7B/year; served 18 million individuals in FY2023; primary federal funding stream for adult protective services which lacks other dedicated federal sources.,https://www.acf.hhs.gov/ocs/programs/ssbg,Verified — ACF/HHS primary source
45,Title IV-E Foster Care and Adoption Assistance Program,HHS,Administration for Children and Families (ACF) / Children's Bureau,"Child welfare; foster care; adoption; family support","Children in foster care; children with special needs being adopted; foster/adoptive families",GRANT-FORMULA,"Open-ended federal matching (50–83% reimbursement); triggers automatic Medicaid for eligible children",TRUE,TRUE,TRUE,TRUE,Batch 11,Open-ended federal match means states receive unlimited reimbursement for qualifying foster care; IV-E eligibility triggers automatic Medicaid; critical node in child welfare welfare stack.,https://cwpm.acf.hhs.gov/citations/title-iv-e,Verified — ACF Children's Bureau primary source
46,FEMA Individuals and Households Program (IHP),DHS,Federal Emergency Management Agency (FEMA),"Disaster recovery; housing; emergency needs","Disaster-affected individuals and households (presidentially declared disasters)","CASH, DIRECT-SERVICE","Housing repair grants; temporary lodging; other needs assistance; activated by Presidential disaster declaration; does not affect other benefit eligibility",FALSE,TRUE,TRUE,TRUE,Batch 12,Triggered by Presidential declaration; provides cash for housing repair/rental and other critical needs; unique activation mechanism requires distinct database treatment from standing benefit programs.,https://www.fema.gov/assistance/individual,Verified — FEMA primary source
47,National Flood Insurance Program (NFIP),DHS,Federal Emergency Management Agency (FEMA),"Flood risk; property insurance; disaster risk reduction","Homeowners, renters, and businesses in NFIP-participating communities",INSURANCE,"Federally backed flood insurance; Write Your Own policies through private insurers; required for federally-backed mortgages in Special Flood Hazard Areas",FALSE,FALSE,TRUE,TRUE,Batch 12,~5 million policies in force; required by federal mortgage programs in flood zones; community-level NFIP participation data is a state/local database candidate.,https://www.fema.gov/flood-insurance,Verified — FEMA primary source
48,FHA Mortgage Insurance (Single-Family),HUD,Federal Housing Administration (FHA),"Homeownership; mortgage access; first-time homebuyers","Homebuyers with limited down payments or credit history; first-time buyers",INSURANCE,"Federal mortgage insurance enabling low down payments (3.5% minimum); opens homeownership to households excluded from conventional markets",FALSE,FALSE,TRUE,FALSE,Batch 13,~$1T+ in FHA-insured loan portfolio; 3.5% minimum down payment enables homeownership for households with limited savings; federal guarantee creates value not available in private market.,https://www.hud.gov/fha,Verified — HUD FHA primary source
49,Indian Health Service (IHS) — Direct Health Services,HHS,Indian Health Service (IHS),"Health care; tribal communities; Indigenous populations","American Indian and Alaska Native tribal members",DIRECT-SERVICE,"Treaty-obligation-based federal health service delivery; tribes can compact services under ISDEAA; distinct from Medicaid/Medicare",FALSE,TRUE,TRUE,TRUE,Batch 14,$5.86B FY2026 IHS appropriation; treaty-based health obligation for ~2.6 million eligible AI/AN people; tribal self-governance compacts create a distinct database layer from standard federal health programs.,https://www.ihs.gov,Verified — IHS primary source
50,Bureau of Indian Affairs (BIA) — General Assistance and Social Services,U.S. Department of the Interior (DOI),Bureau of Indian Affairs (BIA),"Poverty; income support; tribal communities","Eligible American Indians and Alaska Natives on or near reservations","CASH, DIRECT-SERVICE","General assistance cash; child welfare; adult care; tribal income support when state TANF inaccessible",FALSE,FALSE,TRUE,TRUE,Batch 14,BIA General Assistance provides cash to eligible tribal members who are not receiving TANF; separate tribal welfare stack node often overlooked in mainstream federal program databases.,https://www.bia.gov/bia,Verified — BIA primary source
51,"AmeriCorps (State and National / VISTA / NCCC / Seniors)",AmeriCorps (independent agency),N/A,"National service; poverty; community development; workforce","Service members; nonprofits; state commissions; communities","DIRECT-SERVICE, GRANT-COMPETITIVE","Living stipends + education awards to members; grants to organizations; VISTA directly targets poverty reduction",FALSE,FALSE,TRUE,TRUE,Batch 15,~200000 annual service members; education awards (~$7395) usable for student loans; nonprofits receiving AmeriCorps grants are welfare-delivery intermediaries worth cataloging.,https://americorps.gov,Verified — AmeriCorps primary source
52,Child and Dependent Care Tax Credit (CDCTC),U.S. Department of the Treasury / IRS,N/A,"Child care; working families; dependent care","Working households with qualifying dependent care expenses",TAX-CREDIT,"Non-refundable federal credit; many states have refundable versions; tax system complement to CCDF child care subsidies",FALSE,TRUE,TRUE,TRUE,Batch 16,Federal CDCTC is non-refundable; many states have refundable versions; the federal/state gap in refundability is a data story central to understanding household-level value differential.,https://www.irs.gov/credits-deductions/individuals/child-and-dependent-care-credit-information,Verified — IRS primary source
53,"USDA Conservation Programs (CRP, EQIP, CSP, ACEP)",USDA,Natural Resources Conservation Service (NRCS) / Farm Service Agency (FSA),"Conservation; agricultural land management; environmental services","Agricultural producers; landowners","CASH, DIRECT-SERVICE","CRP rental payments for land retirement; cost-share for conservation practices; direct federal transfers to landowners",FALSE,FALSE,FALSE,TRUE,Batch 16,CRP rental payments (~$1.8B/year) and EQIP cost-shares represent direct federal transfers to landowners; county-level data is publicly available and relevant to agricultural welfare stack.,https://www.nrcs.usda.gov/programs-initiatives,Verified — USDA NRCS primary source
54,VA Home Loan Guaranty Program,VA,Veterans Benefits Administration (VBA) / Loan Guaranty Service,"Housing; homeownership; veterans","Eligible veterans, service members, surviving spouses",GUARANTEE,"VA guarantees portion of private mortgage; no down payment required; no PMI; major wealth-building benefit",FALSE,FALSE,TRUE,FALSE,Batch 16,~400000+ loans/year; zero-down financing with no private mortgage insurance is a substantial wealth-building advantage; often underrepresented in welfare databases focused on means-tested programs.,https://www.va.gov/housing-assistance/home-loans/,Verified — VA.gov primary source
